page_name,date,region,amt_spent
Amy Klobuchar,2019-10-20,Alabama,229
Amy Klobuchar,2019-10-27,Alabama,200
Amy Klobuchar,2019-11-03,Alabama,200
Amy Klobuchar,2019-11-10,Alabama,200
Amy Klobuchar,2019-11-17,Alabama,100
Amy Klobuchar,2019-11-24,Alabama,151
Amy Klobuchar,2019-12-01,Alabama,100
Amy Klobuchar,2019-12-15,Alabama,111
Amy Klobuchar,2019-12-22,Alabama,167
Amy Klobuchar,2019-12-29,Alabama,141
Amy Klobuchar,2020-01-05,Alabama,114
Amy Klobuchar,2020-01-12,Alabama,100
Amy Klobuchar,2020-01-19,Alabama,128
Amy Klobuchar,2020-01-26,Alabama,264
Amy Klobuchar,2020-02-02,Alabama,100
Amy Klobuchar,2020-02-09,Alabama,215
Amy Klobuchar,2020-02-16,Alabama,229
Amy Klobuchar,2020-02-23,Alabama,152
Amy Klobuchar,2020-03-01,Alabama,1145
Amy Klobuchar,2020-03-08,Alabama,100
Andrew Yang for President 2020,2019-10-20,Alabama,100
Andrew Yang for President 2020,2019-10-27,Alabama,100
Andrew Yang for President 2020,2019-11-03,Alabama,100
Andrew Yang for President 2020,2019-11-10,Alabama,100
Andrew Yang for President 2020,2019-11-17,Alabama,100
Andrew Yang for President 2020,2019-11-24,Alabama,128
Andrew Yang for President 2020,2019-12-01,Alabama,100
Andrew Yang for President 2020,2019-12-15,Alabama,100
Andrew Yang for President 2020,2019-12-22,Alabama,100
Andrew Yang for President 2020,2019-12-29,Alabama,100
Andrew Yang for President 2020,2020-01-05,Alabama,100
Andrew Yang for President 2020,2020-01-12,Alabama,100
Andrew Yang for President 2020,2020-01-19,Alabama,129
Andrew Yang for President 2020,2020-01-26,Alabama,100
Andrew Yang for President 2020,2020-02-02,Alabama,100
Andrew Yang for President 2020,2020-02-09,Alabama,100
Andrew Yang for President 2020,2020-02-16,Alabama,100
Bernie Sanders,2019-10-20,Alabama,306
Bernie Sanders,2019-10-27,Alabama,285
Bernie Sanders,2019-11-03,Alabama,696
Bernie Sanders,2019-11-10,Alabama,183
Bernie Sanders,2019-11-17,Alabama,468
Bernie Sanders,2019-11-24,Alabama,714
Bernie Sanders,2019-12-01,Alabama,878
Bernie Sanders,2019-12-15,Alabama,988
Bernie Sanders,2019-12-22,Alabama,722
Bernie Sanders,2019-12-29,Alabama,1767
Bernie Sanders,2020-01-05,Alabama,1553
Bernie Sanders,2020-01-12,Alabama,538
Bernie Sanders,2020-01-19,Alabama,1377
Bernie Sanders,2020-01-26,Alabama,907
Bernie Sanders,2020-02-02,Alabama,2581
Bernie Sanders,2020-02-09,Alabama,754
Bernie Sanders,2020-02-16,Alabama,769
Bernie Sanders,2020-02-23,Alabama,2423
Bernie Sanders,2020-03-01,Alabama,2928
Bernie Sanders,2020-03-08,Alabama,2949
Bernie Sanders,2020-03-15,Alabama,1003
Bernie Sanders,2020-03-22,Alabama,152
Cory Booker,2019-10-20,Alabama,200
Cory Booker,2019-10-27,Alabama,200
Cory Booker,2019-11-03,Alabama,272
Cory Booker,2019-11-10,Alabama,200
Cory Booker,2019-11-17,Alabama,100
Cory Booker,2019-11-24,Alabama,124
Cory Booker,2019-12-01,Alabama,102
Cory Booker,2019-12-15,Alabama,100
Cory Booker,2019-12-22,Alabama,100
Cory Booker,2019-12-29,Alabama,100
Cory Booker,2020-01-05,Alabama,100
Cory Booker,2020-01-12,Alabama,100
Cory Booker,2020-01-19,Alabama,100
Cory Booker,2020-05-10,Alabama,100
Donald J. Trump,2019-10-20,Alabama,3484
Donald J. Trump,2019-10-27,Alabama,3740
Donald J. Trump,2019-11-03,Alabama,5779
Donald J. Trump,2019-11-10,Alabama,5159
Donald J. Trump,2019-11-17,Alabama,18090
Donald J. Trump,2019-11-24,Alabama,9126
Donald J. Trump,2019-12-01,Alabama,3556
Donald J. Trump,2019-12-15,Alabama,13197
Donald J. Trump,2019-12-22,Alabama,25604
Donald J. Trump,2019-12-29,Alabama,6391
Donald J. Trump,2020-01-05,Alabama,12321
Donald J. Trump,2020-01-12,Alabama,11954
Donald J. Trump,2020-01-19,Alabama,13028
Donald J. Trump,2020-01-26,Alabama,17928
Donald J. Trump,2020-02-02,Alabama,34751
Donald J. Trump,2020-02-09,Alabama,27198
Donald J. Trump,2020-02-16,Alabama,6454
Donald J. Trump,2020-02-23,Alabama,5198
Donald J. Trump,2020-03-01,Alabama,6070
Donald J. Trump,2020-03-08,Alabama,6893
Donald J. Trump,2020-03-15,Alabama,6847
Donald J. Trump,2020-03-22,Alabama,9549
Donald J. Trump,2020-03-29,Alabama,10388
Donald J. Trump,2020-04-05,Alabama,12474
Donald J. Trump,2020-04-12,Alabama,9732
Donald J. Trump,2020-04-19,Alabama,14753
Donald J. Trump,2020-04-26,Alabama,11125
Donald J. Trump,2020-05-03,Alabama,11759
Donald J. Trump,2020-05-10,Alabama,9670
Elizabeth Warren,2019-10-20,Alabama,2257
Elizabeth Warren,2019-10-27,Alabama,3171
Elizabeth Warren,2019-11-03,Alabama,2000
Elizabeth Warren,2019-11-10,Alabama,2619
Elizabeth Warren,2019-11-17,Alabama,1639
Elizabeth Warren,2019-11-24,Alabama,2087
Elizabeth Warren,2019-12-01,Alabama,1997
Elizabeth Warren,2019-12-15,Alabama,4779
Elizabeth Warren,2019-12-22,Alabama,3356
Elizabeth Warren,2019-12-29,Alabama,1668
Elizabeth Warren,2020-01-05,Alabama,1290
Elizabeth Warren,2020-01-12,Alabama,1318
Elizabeth Warren,2020-01-19,Alabama,2057
Elizabeth Warren,2020-01-26,Alabama,1800
Elizabeth Warren,2020-02-02,Alabama,2016
Elizabeth Warren,2020-02-09,Alabama,1024
Elizabeth Warren,2020-02-16,Alabama,598
Elizabeth Warren,2020-02-23,Alabama,1224
Elizabeth Warren,2020-03-01,Alabama,1404
Elizabeth Warren,2020-03-08,Alabama,727
Elizabeth Warren,2020-03-29,Alabama,100
Elizabeth Warren,2020-04-05,Alabama,100
Elizabeth Warren,2020-04-12,Alabama,100
Elizabeth Warren,2020-04-19,Alabama,100
Elizabeth Warren,2020-04-26,Alabama,156
Elizabeth Warren,2020-05-03,Alabama,100
Elizabeth Warren,2020-05-10,Alabama,100
Joe Biden,2019-10-20,Alabama,541
Joe Biden,2019-10-27,Alabama,516
Joe Biden,2019-11-03,Alabama,803
Joe Biden,2019-11-10,Alabama,645
Joe Biden,2019-11-17,Alabama,529
Joe Biden,2019-11-24,Alabama,328
Joe Biden,2019-12-01,Alabama,105
Joe Biden,2019-12-15,Alabama,561
Joe Biden,2019-12-22,Alabama,719
Joe Biden,2019-12-29,Alabama,769
Joe Biden,2020-01-05,Alabama,680
Joe Biden,2020-01-12,Alabama,350
Joe Biden,2020-01-19,Alabama,281
Joe Biden,2020-01-26,Alabama,585
Joe Biden,2020-02-02,Alabama,687
Joe Biden,2020-02-09,Alabama,1310
Joe Biden,2020-02-16,Alabama,548
Joe Biden,2020-02-23,Alabama,718
Joe Biden,2020-03-01,Alabama,5803
Joe Biden,2020-03-08,Alabama,27058
Joe Biden,2020-03-15,Alabama,5739
Joe Biden,2020-03-22,Alabama,6163
Joe Biden,2020-03-29,Alabama,6442
Joe Biden,2020-04-05,Alabama,6439
Joe Biden,2020-04-12,Alabama,7841
Joe Biden,2020-04-19,Alabama,7081
Joe Biden,2020-04-26,Alabama,3743
Joe Biden,2020-05-03,Alabama,4364
Joe Biden,2020-05-10,Alabama,4604
Pete Buttigieg,2019-10-20,Alabama,2719
Pete Buttigieg,2019-10-27,Alabama,2091
Pete Buttigieg,2019-11-03,Alabama,1500
Pete Buttigieg,2019-11-10,Alabama,1460
Pete Buttigieg,2019-11-17,Alabama,660
Pete Buttigieg,2019-11-24,Alabama,1048
Pete Buttigieg,2019-12-01,Alabama,222
Pete Buttigieg,2019-12-15,Alabama,293
Pete Buttigieg,2019-12-22,Alabama,704
Pete Buttigieg,2019-12-29,Alabama,977
Pete Buttigieg,2020-01-05,Alabama,740
Pete Buttigieg,2020-01-12,Alabama,385
Pete Buttigieg,2020-01-19,Alabama,445
Pete Buttigieg,2020-01-26,Alabama,292
Pete Buttigieg,2020-02-02,Alabama,621
Pete Buttigieg,2020-02-09,Alabama,2348
Pete Buttigieg,2020-02-16,Alabama,1260
Pete Buttigieg,2020-02-23,Alabama,1724
Pete Buttigieg,2020-03-01,Alabama,4449
Tom Steyer,2019-10-20,Alabama,16087
Tom Steyer,2019-10-27,Alabama,11244
Tom Steyer,2019-11-03,Alabama,11743
Tom Steyer,2019-11-10,Alabama,13341
Tom Steyer,2019-11-17,Alabama,20137
Tom Steyer,2019-11-24,Alabama,13489
Tom Steyer,2019-12-01,Alabama,9977
Tom Steyer,2019-12-15,Alabama,450
Tom Steyer,2019-12-22,Alabama,4037
Tom Steyer,2019-12-29,Alabama,6399
Tom Steyer,2020-01-05,Alabama,4957
Tom Steyer,2020-01-12,Alabama,2143
Tom Steyer,2020-01-19,Alabama,4371
Tom Steyer,2020-01-26,Alabama,2905
Tom Steyer,2020-02-02,Alabama,100
Tom Steyer,2020-02-09,Alabama,155
Tom Steyer,2020-02-16,Alabama,100
Tom Steyer,2020-02-23,Alabama,27425
Tom Steyer,2020-03-01,Alabama,20907
Amy Klobuchar,2019-10-20,Alaska,200
Amy Klobuchar,2019-10-27,Alaska,200
Amy Klobuchar,2019-11-03,Alaska,200
Amy Klobuchar,2019-11-10,Alaska,200
Amy Klobuchar,2019-11-17,Alaska,100
Amy Klobuchar,2019-11-24,Alaska,100
Amy Klobuchar,2019-12-01,Alaska,100
Amy Klobuchar,2019-12-15,Alaska,100
Amy Klobuchar,2019-12-22,Alaska,112
Amy Klobuchar,2019-12-29,Alaska,100
Amy Klobuchar,2020-01-05,Alaska,100
Amy Klobuchar,2020-01-12,Alaska,100
Amy Klobuchar,2020-01-19,Alaska,100
Amy Klobuchar,2020-01-26,Alaska,169
Amy Klobuchar,2020-02-02,Alaska,100
Amy Klobuchar,2020-02-09,Alaska,121
Amy Klobuchar,2020-02-16,Alaska,158
Amy Klobuchar,2020-02-23,Alaska,111
Amy Klobuchar,2020-03-01,Alaska,100
Amy Klobuchar,2020-03-08,Alaska,100
Andrew Yang for President 2020,2019-10-20,Alaska,100
Andrew Yang for President 2020,2019-10-27,Alaska,100
Andrew Yang for President 2020,2019-11-03,Alaska,100
Andrew Yang for President 2020,2019-11-10,Alaska,100
Andrew Yang for President 2020,2019-11-17,Alaska,100
Andrew Yang for President 2020,2019-11-24,Alaska,100
Andrew Yang for President 2020,2019-12-01,Alaska,100
Andrew Yang for President 2020,2019-12-15,Alaska,100
Andrew Yang for President 2020,2019-12-22,Alaska,100
Andrew Yang for President 2020,2019-12-29,Alaska,100
Andrew Yang for President 2020,2020-01-05,Alaska,100
Andrew Yang for President 2020,2020-01-12,Alaska,100
Andrew Yang for President 2020,2020-01-19,Alaska,100
Andrew Yang for President 2020,2020-01-26,Alaska,100
Andrew Yang for President 2020,2020-02-02,Alaska,100
Andrew Yang for President 2020,2020-02-09,Alaska,100
Andrew Yang for President 2020,2020-02-16,Alaska,100
Bernie Sanders,2019-10-20,Alaska,335
Bernie Sanders,2019-10-27,Alaska,222
Bernie Sanders,2019-11-03,Alaska,744
Bernie Sanders,2019-11-10,Alaska,100
Bernie Sanders,2019-11-17,Alaska,549
Bernie Sanders,2019-11-24,Alaska,882
Bernie Sanders,2019-12-01,Alaska,1043
Bernie Sanders,2019-12-15,Alaska,1096
Bernie Sanders,2019-12-22,Alaska,785
Bernie Sanders,2019-12-29,Alaska,1844
Bernie Sanders,2020-01-05,Alaska,1486
Bernie Sanders,2020-01-12,Alaska,438
Bernie Sanders,2020-01-19,Alaska,1300
Bernie Sanders,2020-01-26,Alaska,964
Bernie Sanders,2020-02-02,Alaska,2518
Bernie Sanders,2020-02-09,Alaska,673
Bernie Sanders,2020-02-16,Alaska,736
Bernie Sanders,2020-02-23,Alaska,2084
Bernie Sanders,2020-03-01,Alaska,2732
Bernie Sanders,2020-03-08,Alaska,2016
Bernie Sanders,2020-03-15,Alaska,900
Bernie Sanders,2020-03-22,Alaska,170
Cory Booker,2019-10-20,Alaska,200
Cory Booker,2019-10-27,Alaska,200
Cory Booker,2019-11-03,Alaska,200
Cory Booker,2019-11-10,Alaska,200
Cory Booker,2019-11-17,Alaska,100
Cory Booker,2019-11-24,Alaska,100
Cory Booker,2019-12-01,Alaska,100
Cory Booker,2019-12-15,Alaska,100
Cory Booker,2019-12-22,Alaska,100
Cory Booker,2019-12-29,Alaska,100
Cory Booker,2020-01-05,Alaska,100
Cory Booker,2020-01-12,Alaska,100
Cory Booker,2020-01-19,Alaska,100
Cory Booker,2020-05-10,Alaska,100
Donald J. Trump,2019-10-20,Alaska,981
Donald J. Trump,2019-10-27,Alaska,1043
Donald J. Trump,2019-11-03,Alaska,1509
Donald J. Trump,2019-11-10,Alaska,1354
Donald J. Trump,2019-11-17,Alaska,3146
Donald J. Trump,2019-11-24,Alaska,1836
Donald J. Trump,2019-12-01,Alaska,945
Donald J. Trump,2019-12-15,Alaska,2668
Donald J. Trump,2019-12-22,Alaska,5281
Donald J. Trump,2019-12-29,Alaska,1517
Donald J. Trump,2020-01-05,Alaska,2575
Donald J. Trump,2020-01-12,Alaska,2786
Donald J. Trump,2020-01-19,Alaska,2563
Donald J. Trump,2020-01-26,Alaska,3671
Donald J. Trump,2020-02-02,Alaska,6387
Donald J. Trump,2020-02-09,Alaska,5331
Donald J. Trump,2020-02-16,Alaska,1539
Donald J. Trump,2020-02-23,Alaska,1195
Donald J. Trump,2020-03-01,Alaska,1388
Donald J. Trump,2020-03-08,Alaska,1399
Donald J. Trump,2020-03-15,Alaska,1323
Donald J. Trump,2020-03-22,Alaska,1602
Donald J. Trump,2020-03-29,Alaska,1585
Donald J. Trump,2020-04-05,Alaska,2144
Donald J. Trump,2020-04-12,Alaska,1872
Donald J. Trump,2020-04-19,Alaska,2798
Donald J. Trump,2020-04-26,Alaska,2142
Donald J. Trump,2020-05-03,Alaska,2237
Donald J. Trump,2020-05-10,Alaska,1621
Elizabeth Warren,2019-10-20,Alaska,569
Elizabeth Warren,2019-10-27,Alaska,566
Elizabeth Warren,2019-11-03,Alaska,540
Elizabeth Warren,2019-11-10,Alaska,475
Elizabeth Warren,2019-11-17,Alaska,353
Elizabeth Warren,2019-11-24,Alaska,479
Elizabeth Warren,2019-12-01,Alaska,516
Elizabeth Warren,2019-12-15,Alaska,607
Elizabeth Warren,2019-12-22,Alaska,810
Elizabeth Warren,2019-12-29,Alaska,649
Elizabeth Warren,2020-01-05,Alaska,399
Elizabeth Warren,2020-01-12,Alaska,385
Elizabeth Warren,2020-01-19,Alaska,649
Elizabeth Warren,2020-01-26,Alaska,462
Elizabeth Warren,2020-02-02,Alaska,700
Elizabeth Warren,2020-02-09,Alaska,405
Elizabeth Warren,2020-02-16,Alaska,338
Elizabeth Warren,2020-02-23,Alaska,722
Elizabeth Warren,2020-03-01,Alaska,834
Elizabeth Warren,2020-03-08,Alaska,393
Elizabeth Warren,2020-03-29,Alaska,100
Elizabeth Warren,2020-04-05,Alaska,100
Elizabeth Warren,2020-04-12,Alaska,100
Elizabeth Warren,2020-04-19,Alaska,100
Elizabeth Warren,2020-04-26,Alaska,100
Elizabeth Warren,2020-05-03,Alaska,100
Elizabeth Warren,2020-05-10,Alaska,100
Joe Biden,2019-10-20,Alaska,209
Joe Biden,2019-10-27,Alaska,211
Joe Biden,2019-11-03,Alaska,211
Joe Biden,2019-11-10,Alaska,162
Joe Biden,2019-11-17,Alaska,130
Joe Biden,2019-11-24,Alaska,100
Joe Biden,2019-12-01,Alaska,100
Joe Biden,2019-12-15,Alaska,154
Joe Biden,2019-12-22,Alaska,190
Joe Biden,2019-12-29,Alaska,205
Joe Biden,2020-01-05,Alaska,172
Joe Biden,2020-01-12,Alaska,100
Joe Biden,2020-01-19,Alaska,100
Joe Biden,2020-01-26,Alaska,144
Joe Biden,2020-02-02,Alaska,171
Joe Biden,2020-02-09,Alaska,212
Joe Biden,2020-02-16,Alaska,100
Joe Biden,2020-02-23,Alaska,103
Joe Biden,2020-03-01,Alaska,695
Joe Biden,2020-03-08,Alaska,2885
Joe Biden,2020-03-15,Alaska,1397
Joe Biden,2020-03-22,Alaska,1708
Joe Biden,2020-03-29,Alaska,1887
Joe Biden,2020-04-05,Alaska,1826
Joe Biden,2020-04-12,Alaska,2405
Joe Biden,2020-04-19,Alaska,1961
Joe Biden,2020-04-26,Alaska,801
Joe Biden,2020-05-03,Alaska,1001
Joe Biden,2020-05-10,Alaska,1045
Pete Buttigieg,2019-10-20,Alaska,1359
Pete Buttigieg,2019-10-27,Alaska,1097
Pete Buttigieg,2019-11-03,Alaska,999
Pete Buttigieg,2019-11-10,Alaska,986
Pete Buttigieg,2019-11-17,Alaska,439
Pete Buttigieg,2019-11-24,Alaska,691
Pete Buttigieg,2019-12-01,Alaska,139
Pete Buttigieg,2019-12-15,Alaska,173
Pete Buttigieg,2019-12-22,Alaska,295
Pete Buttigieg,2019-12-29,Alaska,270
Pete Buttigieg,2020-01-05,Alaska,316
Pete Buttigieg,2020-01-12,Alaska,120
Pete Buttigieg,2020-01-19,Alaska,171
Pete Buttigieg,2020-01-26,Alaska,114
Pete Buttigieg,2020-02-02,Alaska,253
Pete Buttigieg,2020-02-09,Alaska,1024
Pete Buttigieg,2020-02-16,Alaska,562
Pete Buttigieg,2020-02-23,Alaska,791
Pete Buttigieg,2020-03-01,Alaska,580
Tom Steyer,2019-10-20,Alaska,240
Tom Steyer,2019-10-27,Alaska,200
Tom Steyer,2019-11-03,Alaska,200
Tom Steyer,2019-11-10,Alaska,228
Tom Steyer,2019-11-17,Alaska,1117
Tom Steyer,2019-11-24,Alaska,2390
Tom Steyer,2019-12-01,Alaska,1952
Tom Steyer,2019-12-15,Alaska,196
Tom Steyer,2019-12-22,Alaska,1445
Tom Steyer,2019-12-29,Alaska,3149
Tom Steyer,2020-01-05,Alaska,2526
Tom Steyer,2020-01-12,Alaska,1121
